Year,Month,Number of Households,Median Income (dollars),Zip Code
2011,1,8157,74415.0,75010
2011,2,8157,74415.0,75010
2011,3,8157,74415.0,75010
2011,4,8157,74415.0,75010
2011,5,8157,74415.0,75010
2011,6,8157,74415.0,75010
2011,7,8157,74415.0,75010
2011,8,8157,74415.0,75010
2011,9,8157,74415.0,75010
2011,10,8157,74415.0,75010
2011,11,8157,74415.0,75010
2011,12,8157,74415.0,75010
2012,1,8169,74428.58333333333,75010
2012,2,8182,74442.16666666667,75010
2012,3,8195,74455.75,75010
2012,4,8208,74469.33333333333,75010
2012,5,8220,74482.91666666667,75010
2012,6,8233,74496.5,75010
2012,7,8246,74510.08333333333,75010
2012,8,8259,74523.66666666667,75010
2012,9,8271,74537.25,75010
2012,10,8284,74550.83333333333,75010
2012,11,8297,74564.41666666667,75010
2012,12,8310,74578.0,75010
2013,1,8340,74671.16666666667,75010
2013,2,8371,74764.33333333333,75010
2013,3,8402,74857.5,75010
2013,4,8433,74950.66666666667,75010
2013,5,8464,75043.83333333333,75010
2013,6,8495,75137.0,75010
2013,7,8526,75230.16666666667,75010
2013,8,8557,75323.33333333333,75010
2013,9,8588,75416.5,75010
2013,10,8619,75509.66666666667,75010
2013,11,8650,75602.83333333333,75010
2013,12,8681,75696.0,75010
2014,1,8711,75720.5,75010
2014,2,8742,75745.0,75010
2014,3,8773,75769.5,75010
2014,4,8804,75794.0,75010
2014,5,8834,75818.5,75010
2014,6,8865,75843.0,75010
2014,7,8896,75867.5,75010
2014,8,8927,75892.0,75010
2014,9,8957,75916.5,75010
2014,10,8988,75941.0,75010
2014,11,9019,75965.5,75010
2014,12,9050,75990.0,75010
2015,1,9073,76146.25,75010
2015,2,9096,76302.5,75010
2015,3,9119,76458.75,75010
2015,4,9142,76615.0,75010
2015,5,9165,76771.25,75010
2015,6,9189,76927.5,75010
2015,7,9212,77083.75,75010
2015,8,9235,77240.0,75010
2015,9,9258,77396.25,75010
2015,10,9281,77552.5,75010
2015,11,9304,77708.75,75010
2015,12,9328,77865.0,75010
2016,1,9389,77894.33333333333,75010
2016,2,9450,77923.66666666667,75010
2016,3,9512,77953.0,75010
2016,4,9573,77982.33333333333,75010
2016,5,9634,78011.66666666667,75010
2016,6,9696,78041.0,75010
2016,7,9757,78070.33333333333,75010
2016,8,9818,78099.66666666667,75010
2016,9,9880,78129.0,75010
2016,10,9941,78158.33333333333,75010
2016,11,10002,78187.66666666667,75010
2016,12,10064,78217.0,75010
2011,1,9317,123426.0,75013
2011,2,9317,123426.0,75013
2011,3,9317,123426.0,75013
2011,4,9317,123426.0,75013
2011,5,9317,123426.0,75013
2011,6,9317,123426.0,75013
2011,7,9317,123426.0,75013
2011,8,9317,123426.0,75013
2011,9,9317,123426.0,75013
2011,10,9317,123426.0,75013
2011,11,9317,123426.0,75013
2011,12,9317,123426.0,75013
2012,1,9373,123900.83333333333,75013
2012,2,9430,124375.66666666667,75013
2012,3,9486,124850.5,75013
2012,4,9543,125325.33333333333,75013
2012,5,9599,125800.16666666667,75013
2012,6,9656,126275.0,75013
2012,7,9712,126749.83333333333,75013
2012,8,9769,127224.66666666667,75013
2012,9,9825,127699.5,75013
2012,10,9882,128174.33333333333,75013
2012,11,9938,128649.16666666667,75013
2012,12,9995,129124.0,75013
2013,1,10021,129353.5,75013
2013,2,10048,129583.0,75013
2013,3,10074,129812.5,75013
2013,4,10101,130042.0,75013
2013,5,10127,130271.5,75013
2013,6,10154,130501.0,75013
2013,7,10181,130730.5,75013
2013,8,10207,130960.0,75013
2013,9,10234,131189.5,75013
2013,10,10260,131419.0,75013
2013,11,10287,131648.5,75013
2013,12,10314,131878.0,75013
2014,1,10381,131705.25,75013
2014,2,10448,131532.5,75013
2014,3,10515,131359.75,75013
2014,4,10582,131187.0,75013
2014,5,10649,131014.25,75013
2014,6,10716,130841.5,75013
2014,7,10783,130668.75,75013
2014,8,10850,130496.0,75013
2014,9,10917,130323.25,75013
2014,10,10984,130150.5,75013
2014,11,11051,129977.75,75013
2014,12,11118,129805.0,75013
2015,1,11150,129727.66666666667,75013
2015,2,11182,129650.33333333333,75013
2015,3,11214,129573.0,75013
2015,4,11246,129495.66666666667,75013
2015,5,11278,129418.33333333333,75013
