,OriginalZip,CalendarYearIssued,Issuedmonth,NewConstructionsCount,RemodelRepairsCount,NewConstructionDollarValue,RemodelRepairDollarValue
456,78660,2008,11,3,0,320720,0
457,78660,2008,12,1,0,111990,0
458,78660,2009,1,2,0,155005,0
459,78660,2009,2,3,0,287115,0
460,78660,2009,3,9,0,927932,0
461,78660,2009,4,7,0,708680,0
462,78660,2009,5,5,0,484615,0
463,78660,2009,6,6,0,459690,0
464,78660,2009,7,4,1,387250,23970
465,78660,2009,8,3,0,302470,0
466,78660,2009,9,4,0,432460,0
467,78660,2009,10,1,1,76500,35000
468,78660,2009,11,3,0,315720,0
469,78660,2009,12,9,0,811680,0
470,78660,2010,1,11,0,1158690,0
471,78660,2010,2,10,0,829415,0
472,78660,2010,3,1,0,120740,0
473,78660,2010,4,3,0,330470,0
474,78660,2010,6,0,1,0,5500
475,78660,2010,10,1,0,104990,0
476,78660,2010,11,2,0,177980,0
477,78660,2010,12,2,0,215230,0
478,78660,2011,1,5,0,472950,0
479,78660,2011,2,1,0,104990,0
480,78660,2011,3,6,0,633440,0
481,78660,2011,4,4,0,404460,0
482,78660,2011,5,6,0,651690,0
483,78660,2011,6,2,0,201480,0
484,78660,2011,7,2,0,173980,0
485,78660,2011,8,1,0,112740,0
486,78660,2011,10,1,0,110490,0
487,78660,2011,12,1,0,107990,0
488,78660,2012,2,1,0,82990,0
489,78660,2012,3,2,0,205980,0
490,78660,2012,4,1,0,82990,0
491,78660,2012,8,1,0,123975,0
492,78660,2012,10,1,0,112590,0
493,78660,2012,12,0,1,0,6500
494,78660,2013,1,1,1,138215,3839
495,78660,2013,2,4,0,455290,0
496,78660,2013,3,2,0,211590,0
497,78660,2013,4,4,0,478130,0
498,78660,2013,5,5,0,583810,0
499,78660,2013,6,4,0,377615,0
500,78660,2013,7,5,0,590710,0
501,78660,2013,8,4,0,428755,0
502,78660,2013,9,5,1,619210,1202
503,78660,2013,10,4,1,464205,4445
504,78660,2013,11,1,0,138215,0
505,78660,2013,12,5,0,620475,0
506,78660,2014,1,7,0,980115,0
507,78660,2014,2,2,0,301560,0
508,78660,2014,3,3,0,395610,0
509,78660,2014,4,6,0,854865,0
510,78660,2014,5,5,0,583165,0
511,78660,2014,6,6,0,943635,0
512,78660,2014,7,1,0,162030,0
513,78660,2014,8,1,1,160875,31520
514,78660,2014,10,0,1,0,47889
515,78660,2015,2,0,1,0,8562
516,78660,2015,3,7,0,822780,0
517,78660,2015,4,7,0,882480,0
518,78660,2015,5,8,0,1121040,0
519,78660,2015,6,1,0,178140,0
520,78660,2015,9,0,2,0,7000
521,78660,2015,10,1,0,161940,0
522,78660,2015,12,1,0,98460,0
523,78660,2016,2,7,0,660325,0
524,78660,2016,3,10,1,1260985,18021
525,78660,2016,4,7,0,989159,0
526,78660,2016,5,15,0,1844560,0
527,78660,2016,6,29,0,3340685,0
528,78660,2016,7,23,0,3043315,0
529,78660,2016,8,15,0,2606925,0
530,78660,2016,9,38,0,4490960,0
531,78660,2016,10,37,0,5504550,0
532,78660,2016,11,29,0,4057387,0
533,78660,2016,12,18,0,2816870,0
534,78660,2017,1,25,0,3161850,0
535,78660,2017,2,7,0,1019442,0
536,78660,2017,3,41,1,5159630,2771
537,78660,2017,4,35,0,4715459,0
538,78660,2017,5,17,1,2329745,48100
539,78660,2017,6,40,0,5792841,0
540,78660,2017,7,51,0,7640716,0
541,78660,2017,8,28,0,4512024,0
542,78660,2017,9,22,0,3293905,0
543,78660,2017,10,25,0,3973237,0
544,78660,2017,11,2,0,343168,0
545,78660,2017,12,14,2,2447935,1501
546,78660,2018,1,12,0,2232758,0
547,78660,2018,2,25,1,4600832,200000
548,78660,2018,3,12,0,2312561,0
549,78660,2018,4,48,1,7214531,2500
550,78660,2018,5,34,0,5015195,0
551,78681,1996,1,7,0,619275,0
552,78681,1996,2,9,0,854728,0
553,78681,1996,3,6,0,447095,0
554,78681,1996,4,8,0,720725,0
555,78681,1996,5,16,0,1333835,0
556,78681,1996,6,12,2,1493750,3000
557,78681,1996,7,2,0,167995,0
558,78681,1996,8,8,0,691409,0
559,78681,1996,9,7,2,620368,99500
560,78681,1996,10,5,0,401664,0
561,78681,1996,11,8,1,658163,1500
562,78681,1996,12,0,1,0,800
563,78681,1997,1,10,0,853423,0
564,78681,1997,2,7,0,578955,0
565,78681,1997,3,1,0,81449,0
566,78681,1997,4,1,1,81472,1500
567,78681,1997,6,3,0,291125,0
568,78701,1996,1,0,1,0,5000
569,78701,1996,2,2,2,225281,64500
570,78701,1996,3,4,1,289034,0
571,78701,1996,7,3,71,216470,4000
572,78701,1996,10,0,2,0,23685
573,78701,1997,1,1,1,59290,0
574,78701,1997,4,0,1,0,8000
575,78701,1997,7,0,1,0,60339
576,78701,1998,4,0,1,0,7039
577,78701,1998,6,0,1,0,36000
578,78701,1998,9,0,1,0,4900
579,78701,1998,10,2,0,13500,0
580,78701,1998,11,0,2,0,13200
581,78701,1999,4,0,2,0,27500
582,78701,1999,6,0,1,0,1500
583,78701,1999,7,0,1,0,29000
584,78701,1999,10,2,1,1515995,67000
585,78701,1999,11,5,0,717373,0
586,78701,2000,3,0,1,0,85000
587,78701,2000,5,0,1,0,6612
588,78701,2001,2,0,1,0,71000
589,78701,2001,3,0,1,0,41000
590,78701,2002,3,0,1,0,1000
591,78701,2002,7,0,1,0,167000
592,78701,2002,11,1,0,90000,0
593,78701,2003,2,0,1,0,100000
594,78701,2003,6,1,0,210000,0
595,78701,2003,7,0,1,0,10000
596,78701,2003,8,0,1,0,42000
597,78701,2004,5,0,1,0,30000
598,78701,2004,7,0,1,0,122000
599,78701,2004,9,2,0,53000,0
600,78701,2004,10,0,1,0,44000
601,78701,2004,12,0,1,0,3100
602,78701,2005,1,0,1,0,0
603,78701,2005,2,0,1,0,0
604,78701,2005,3,0,1,0,5500
605,78701,2005,4,0,1,0,113100
606,78701,2005,8,1,2,96000,439000
607,78701,2005,9,0,1,0,800
608,78701,2006,2,0,1,0,0
609,78701,2006,5,0,1,0,0
610,78701,2006,6,0,2,0,83000
611,78701,2006,8,0,2,0,0
612,78701,2006,9,0,4,0,90000
613,78701,2006,10,0,1,0,80000
614,78701,2006,12,0,2,0,425000
615,78701,2007,1,0,2,0,108000
616,78701,2007,2,3,1,80000,15000
617,78701,2007,4,1,0,5000,0
618,78701,2007,8,0,1,0,117000
619,78701,2007,9,0,1,0,22000
620,78701,2007,10,1,0,158000,0
621,78701,2008,5,0,1,0,68000
622,78701,2008,6,0,1,0,5000
623,78701,2008,8,1,0,170000,0
624,78701,2008,10,0,1,0,1000
625,78701,2009,1,1,0,9250,0
626,78701,2009,2,0,1,0,12000
627,78701,2009,3,1,0,40000,0
628,78701,2009,4,0,1,0,158800
629,78701,2009,6,0,1,0,5000
630,78701,2009,11,0,3,0,68450
631,78701,2010,3,0,1,0,4200
632,78701,2010,4,0,2,0,0
633,78701,2010,6,1,0,25500,0
634,78701,2010,7,0,1,0,0
635,78701,2010,8,0,1,0,3250
636,78701,2010,10,0,2,0,154000
637,78701,2010,11,0,3,0,39300
638,78701,2010,12,0,1,0,5000
639,78701,2011,2,0,1,0,104000
640,78701,2011,3,0,3,0,16000
641,78701,2011,5,0,1,0,35000
642,78701,2011,8,0,1,0,0
643,78701,2011,9,0,1,0,6000
644,78701,2011,10,0,1,0,0
645,78701,2011,11,0,1,0,0
646,78701,2012,1,0,1,0,15100
647,78701,2012,2,0,1,0,10250
648,78701,2012,3,1,2,25000,42800
649,78701,2012,4,0,2,0,325000
650,78701,2012,6,0,1,0,11350
651,78701,2012,7,0,3,0,303600
652,78701,2012,8,0,1,0,3835
653,78701,2012,9,0,1,0,50000
654,78701,2012,10,0,1,0,2500
655,78701,2012,11,0,2,0,9000
656,78701,2012,12,0,1,0,1400
657,78701,2013,1,0,2,0,29635
658,78701,2013,5,0,1,0,0
659,78701,2013,7,0,1,0,7900
660,78701,2013,8,0,1,0,0
661,78701,2013,9,0,4,0,311100
662,78701,2013,10,0,3,0,17392
663,78701,2013,11,0,7,0,354000
664,78701,2014,1,0,1,0,10000
665,78701,2014,2,0,5,0,370000
666,78701,2014,7,0,1,0,19000
667,78701,2014,8,0,1,0,1
668,78701,2014,10,0,1,0,15000
669,78701,2014,11,1,0,200000,0
670,78701,2015,5,0,1,0,6750
671,78701,2015,6,0,3,0,91274
